num,person,angle,type,file,word,
1,1,정면,단어,KETI_SL_0000000001.MOV,0,
2,1,정면,단어,KETI_SL_0000000002.MOV,1,
3,1,정면,단어,KETI_SL_0000000003.MOV,2,
4,1,정면,단어,KETI_SL_0000000004.MOV,3,
5,1,정면,단어,KETI_SL_0000000005.MOV,4,
6,1,정면,단어,KETI_SL_0000000006.MOV,5,
7,1,정면,단어,KETI_SL_0000000007.MOV,6,
8,1,정면,단어,KETI_SL_0000000008.MOV,7,
9,1,정면,단어,KETI_SL_0000000009.MOV,8,
10,1,정면,단어,KETI_SL_0000000010.MOV,9,
11,1,정면,단어,KETI_SL_0000000011.MOV,10,
106,1,정면,단어,KETI_SL_0000000106.MOV,가렵다,
120,1,정면,단어,KETI_SL_0000000120.MOV,개,
138,1,정면,단어,KETI_SL_0000000138.MOV,공원,
152,1,정면,단어,KETI_SL_0000000152.MOV,금요일,
167,1,정면,단어,KETI_SL_0000000167.MOV,내년,
168,1,정면,단어,KETI_SL_0000000168.MOV,내일,
169,1,정면,단어,KETI_SL_0000000169.MOV,냄새나다,
173,1,정면,단어,KETI_SL_0000000173.MOV,누나,
190,1,정면,단어,KETI_SL_0000000190.MOV,동생,
209,1,정면,단어,KETI_SL_0000000209.MOV,목요일,
214,1,정면,단어,KETI_SL_0000000214.MOV,물,
216,1,정면,단어,KETI_SL_0000000216.MOV,아래,
217,1,정면,단어,KETI_SL_0000000217.MOV,바다,
227,1,정면,단어,KETI_SL_0000000227.MOV,배고프다,
232,1,정면,단어,KETI_SL_0000000232.MOV,병원,
239,1,정면,단어,KETI_SL_0000000239.MOV,불,
247,1,정면,단어,KETI_SL_0000000247.MOV,산,
250,1,정면,단어,KETI_SL_0000000250.MOV,삼키다,
256,1,정면,단어,KETI_SL_0000000256.MOV,선생님,
269,1,정면,단어,KETI_SL_0000000269.MOV,수요일,
280,1,정면,단어,KETI_SL_0000000280.MOV,아빠,
283,1,정면,단어,KETI_SL_0000000283.MOV,아파트,
287,1,정면,단어,KETI_SL_0000000287.MOV,앞,
293,1,정면,단어,KETI_SL_0000000293.MOV,어제,
294,1,정면,단어,KETI_SL_0000000294.MOV,어지러움,
295,1,정면,단어,KETI_SL_0000000295.MOV,언니,
297,1,정면,단어,KETI_SL_0000000297.MOV,엄마,
313,1,정면,단어,KETI_SL_0000000313.MOV,오늘,
314,1,정면,단어,KETI_SL_0000000314.MOV,오른쪽,
317,1,정면,단어,KETI_SL_0000000317.MOV,오빠,
319,1,정면,단어,KETI_SL_0000000319.MOV,올해,
320,1,정면,단어,KETI_SL_0000000320.MOV,왼쪽,
327,1,정면,단어,KETI_SL_0000000327.MOV,월요일,
329,1,정면,단어,KETI_SL_0000000329.MOV,위에,
337,1,정면,단어,KETI_SL_0000000337.MOV,음식물,
346,1,정면,단어,KETI_SL_0000000346.MOV,일요일,
349,1,정면,단어,KETI_SL_0000000349.MOV,자동차,
352,1,정면,단어,KETI_SL_0000000352.MOV,작년,
367,1,정면,단어,KETI_SL_0000000367.MOV,집,
